                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4359,                 3.5774,                 1.8125,                0.57985,                0.42867,                0.43087,                0.22414,                 1.5744,                  4.162,                 2.0546,             0.00020699,             0.00020699,             0.00020699
                      1,                 1.4214,                 2.4764,                 1.7267,                0.72253,                0.58221,                0.66777,                0.33924,                 1.7883,                  3.298,                 2.2995,             0.00040162,             0.00040162,             0.00040162
                      2,                 1.4318,                 2.0707,                 1.7016,                0.67241,                0.67331,                0.74735,                0.40308,                 1.6994,                 2.5046,                 2.1553,             0.00058249,             0.00058249,             0.00058249
                      3,                 1.4041,                 1.8156,                 1.6796,                0.78594,                0.72037,                0.79641,                0.40216,                 1.7176,                 2.3333,                 2.1225,             0.00056313,             0.00056313,             0.00056313
                      4,                 1.3813,                 1.6491,                 1.6491,                0.54777,                0.53874,                0.54846,                0.23626,                 2.2703,                 2.3663,                 2.6239,             0.00056313,             0.00056313,             0.00056313
                      5,                 1.3658,                 1.5126,                 1.6287,                0.79214,                0.76345,                0.78331,                0.45183,                 1.5425,                 1.8108,                 1.9748,              0.0005425,              0.0005425,              0.0005425
                      6,                 1.3133,                 1.3741,                 1.5893,                0.72954,                0.72476,                0.72955,                 0.3746,                 1.8486,                 1.7424,                 2.2627,             0.00052188,             0.00052188,             0.00052188
                      7,                 1.2817,                 1.2796,                  1.564,                0.74639,                0.75958,                0.81356,                0.46473,                 1.5883,                 1.5813,                 2.0124,             0.00050125,             0.00050125,             0.00050125
                      8,                 1.2675,                 1.2296,                 1.5522,                0.77647,                0.79589,                0.80361,                0.43308,                 1.7431,                   1.53,                 2.1724,             0.00048062,             0.00048062,             0.00048062
                      9,                 1.2573,                 1.1532,                  1.545,                 0.7248,                0.70901,                0.77722,                0.42228,                 1.8021,                 1.5739,                 2.1932,                0.00046,                0.00046,                0.00046
                     10,                 1.2305,                 1.0922,                 1.5021,                  0.819,                 0.7983,                0.80759,                0.46479,                 1.6139,                 1.4287,                 2.0096,             0.00043937,             0.00043937,             0.00043937
                     11,                  1.219,                 1.0585,                 1.5021,                0.76655,                 0.8245,                0.82128,                 0.4512,                 1.6249,                   1.33,                 2.0729,             0.00041875,             0.00041875,             0.00041875
                     12,                 1.1921,                 1.0319,                   1.49,                0.78016,                0.80764,                0.82548,                0.41957,                 1.7638,                  1.496,                 2.1932,             0.00039813,             0.00039813,             0.00039813
                     13,                 1.1705,                 1.0274,                 1.4741,                0.85568,                0.74704,                0.82329,                0.43063,                 1.8043,                 1.4489,                 2.2291,              0.0003775,              0.0003775,              0.0003775
                     14,                 1.1543,                0.97149,                   1.47,                0.86317,                0.75422,                0.79921,                0.40701,                 1.7852,                 1.4213,                 2.2476,             0.00035687,             0.00035687,             0.00035687
                     15,                 1.1344,                0.92584,                 1.4514,                0.77811,                0.78739,                0.77123,                 0.4074,                 1.7984,                  1.323,                 2.2534,             0.00033625,             0.00033625,             0.00033625
                     16,                  1.115,                 0.9131,                 1.4362,                0.83651,                0.78657,                0.81254,                0.44029,                 1.7923,                 1.3174,                 2.2338,             0.00031562,             0.00031562,             0.00031562
                     17,                 1.1084,                0.91384,                 1.4285,                0.84179,                0.80183,                0.82471,                0.42306,                 1.8386,                 1.3185,                 2.2767,               0.000295,               0.000295,               0.000295
                     18,                 1.0818,                0.86793,                 1.4133,                0.75356,                0.85084,                0.83339,                0.44413,                 1.7948,                 1.2599,                 2.2668,             0.00027437,             0.00027437,             0.00027437
                     19,                 1.0803,                0.83081,                 1.4009,                0.81277,                0.80618,                0.81836,                0.44465,                 1.7397,                 1.2569,                 2.2553,             0.00025375,             0.00025375,             0.00025375
                     20,                0.97477,                0.70341,                 1.4921,                0.85071,                 0.7981,                0.84792,                0.47986,                 1.6564,                 1.1506,                   2.16,             0.00023313,             0.00023313,             0.00023313
                     21,                0.93954,                0.65464,                 1.4656,                0.84719,                0.81439,                 0.8618,                0.51151,                  1.564,                 1.1185,                 2.1086,              0.0002125,              0.0002125,              0.0002125
                     22,                0.92826,                0.63107,                  1.443,                0.81081,                0.82073,                0.84484,                0.47081,                 1.6534,                 1.1916,                 2.2396,             0.00019188,             0.00019188,             0.00019188
                     23,                0.89882,                0.60571,                 1.4188,                0.84068,                 0.8236,                0.84075,                0.46862,                 1.7115,                 1.1899,                 2.2999,             0.00017125,             0.00017125,             0.00017125
                     24,                0.87902,                0.58326,                 1.3963,                0.85735,                0.79918,                0.86081,                0.50022,                  1.635,                 1.0911,                 2.1919,             0.00015062,             0.00015062,             0.00015062
                     25,                0.85368,                0.57139,                 1.3754,                0.84517,                0.80394,                0.85494,                0.47632,                 1.6809,                 1.1159,                 2.2911,                0.00013,                0.00013,                0.00013
                     26,                0.84184,                0.54918,                 1.3551,                0.84288,                0.81552,                0.85363,                0.47543,                  1.717,                 1.1078,                 2.3561,             0.00010937,             0.00010937,             0.00010937
                     27,                0.82027,                0.53876,                 1.3468,                0.86665,                0.78053,                0.83577,                0.46611,                 1.7083,                 1.0867,                 2.3467,              8.875e-05,              8.875e-05,              8.875e-05
                     28,                0.79736,                0.52148,                 1.3236,                0.83515,                0.81873,                0.84873,                0.47596,                 1.7301,                 1.1128,                 2.3944,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     29,                0.79747,                 0.5124,                 1.3222,                0.85963,                 0.8037,                0.84536,                0.44346,                 1.8409,                 1.1391,                 2.5179,               4.75e-05,               4.75e-05,               4.75e-05
